TESTACC,TS-CHIEF,HIVE-COTE v1.0,ROCKET,InceptionTime,STC,ResNet,ProximityForest,WEASEL,S-BOSS,cBOSS,BOSS,RISE,TSF,Catch22,Nasz – max,Nasz – avg,Nasz,Nasz,Nasz,Nasz,Nasz
FacesUCR,0.972926829268293,0.961349593495935,0.971284552845529,0.976959349593496,0.91009756097561,0.964260162601626,0.95609756097561,0.956195121951219,0.956959349593496,0.952471544715447,0.95130081300813,0.891951219512195,0.903983739837398,0.708682926829269,0.566546738147736,0.530935251712799,0.566546738147736,0.507194221019745,0.539568364620209,0.514388501644135,0.526978433132172
FiftyWords,0.842710622710623,0.771648351648352,0.825054945054946,0.826739926739927,0.736556776556777,0.723956043956044,0.825934065934066,0.776996336996337,0.765054945054945,0.717875457875458,0.705860805860806,0.666593406593407,0.721684981684982,0.597802197802198,0.493212670087814,0.460633486509323,0.457013577222824,0.493212670087814,0.493212670087814,0.434389144182205,0.425339370965958
Fish,0.981523809523809,0.979428571428571,0.974095238095238,0.972761904761905,0.949904761904762,0.969904761904762,0.933904761904762,0.950857142857143,0.971238095238095,0.97447619047619,0.969714285714286,0.859047619047619,0.83047619047619,0.772571428571429,0.658536612987518,0.600000011920929,0.597561001777649,0.573170721530914,0.573170721530914,0.658536612987518,0.597561001777649
FordA,0.94739898989899,0.944116161616162,0.942449494949495,0.959040404040404,0.934242424242424,0.931515151515151,0.850025252525252,0.968686868686869,0.907575757575758,0.915732323232323,0.921363636363637,0.940025252525252,0.815757575757576,0.909191919191919,1,1,1,1,1,1,1
FreezerRegularTrain,0.998491228070176,0.999087719298246,0.994374269005848,0.995742690058479,0.999251461988304,0.996736842105264,0.942350877192982,0.990608187134503,0.976105263157895,0.993929824561404,0.988058479532164,0.95225730994152,0.997076023391813,0.998187134502924,0.995901644229889,0.991803276538849,0.995901644229889,0.990437150001526,0.987704932689667,0.990437150001526,0.994535505771637
FreezerSmallTrain,0.995461988304094,0.983660818713451,0.987204678362573,0.948830409356725,0.988561403508772,0.949473684210526,0.823380116959064,0.900573099415205,0.947602339181286,0.966818713450292,0.961637426900585,0.87872514619883,0.961438596491228,0.959766081871345,0.998603343963623,0.99441339969635,0.997206687927246,0.994413435459137,0.995810031890869,0.986033499240875,0.998603343963623
GunPoint,1,0.998222222222222,0.992,0.995111111111111,0.986444444444444,0.990888888888889,0.991333333333333,0.993111111111111,0.996666666666667,0.999777777777778,0.996444444444444,0.980888888888889,0.955333333333333,0.943111111111111,0.952380955219269,0.9,0.904761910438538,0.857142865657806,0.952380955219269,0.904761910438538,0.88095235824585
GunPointAgeSpan,0.99957805907173,0.996624472573839,0.993459915611814,0.984071729957806,0.966033755274262,0.994409282700422,0.996940928270042,0.981329113924051,0.995358649789029,0.998628691983122,0.994936708860759,0.986286919831224,0.977742616033755,0.943881856540085,0.9375,0.910416662693024,0.90625,0.875,0.895833313465118,0.9375,0.9375
GunPointMaleVersusFemale,0.999367088607595,0.999894514767932,0.999894514767932,0.99831223628692,0.986497890295358,0.990084388185654,0.999367088607595,0.993881856540084,0.99957805907173,0.99915611814346,0.99957805907173,0.991139240506329,0.995991561181434,0.993459915611814,0.947368443012238,0.915789484977722,0.905263185501099,0.926315784454346,0.947368443012238,0.89473682641983,0.905263185501099
GunPointOldVersusYoung,1,1,0.98962962962963,1,0.978306878306878,1,1,0.986031746031746,0.999153439153439,0.999153439153439,0.999153439153439,0.99978835978836,1,0.964232804232804,0.989690721035004,0.97113401889801,0.979381442070007,0.948453605175018,0.948453605175018,0.989690721035004,0.989690721035004
Ham,0.805079365079365,0.84,0.855238095238095,0.850476190476191,0.810793650793651,0.807301587301588,0.783492063492064,0.821269841269842,0.834920634920635,0.811428571428572,0.837460317460318,0.81968253968254,0.79936507936508,0.693968253968254,0.571428596973419,0.492857140302658,0.535714268684387,0.46428570151329,0.46428570151329,0.571428596973419,0.428571432828903
Haptics,0.523268398268398,0.539393939393939,0.534199134199134,0.537012987012987,0.541666666666667,0.496536796536796,0.458333333333333,0.449242424242424,0.492207792207792,0.480194805194805,0.467424242424242,0.478787878787879,0.465584415584416,0.458658008658009,0.351851850748062,0.311111110448837,0.351851850748062,0.314814805984497,0.268518507480621,0.287037044763565,0.333333343267441
Herring,0.597395833333333,0.611979166666667,0.625,0.625,0.6328125,0.596875,0.574479166666667,0.602083333333333,0.608333333333333,0.574479166666667,0.595833333333333,0.5984375,0.604166666666667,0.555729166666667,0.75,0.641666656732559,0.708333313465118,0.75,0.583333313465118,0.458333343267441,0.708333313465118
HouseTwenty,0.9703081232493,0.978711484593838,0.962745098039216,0.953221288515406,0.975070028011205,0.95546218487395,0.936974789915966,0.810644257703082,0.9296918767507,0.939775910364146,0.956022408963585,0.9296918767507,0.83781512605042,0.946218487394958,0.971428573131561,0.862857151031494,0.828571438789368,0.800000011920929,0.800000011920929,0.914285719394684,0.971428573131561
InlineSkate,0.571878787878788,0.515151515151515,0.437939393939394,0.534424242424242,0.439272727272727,0.410121212121212,0.561030303030303,0.674606060606061,0.514242424242424,0.503454545454545,0.505636363636363,0.390424242424242,0.372787878787879,0.472363636363636,0.559748411178589,0.495597487688065,0.50943398475647,0.490566045045853,0.427672952413559,0.490566045045853,0.559748411178589
InsectEPGRegularTrain,1,1,0.987014725568942,1,0.993440428380187,1,1,0.971753681392236,0.977376171352075,1,0.996787148594378,0.992904953145917,1,0.928781793842035,1,0.994520545005798,1,0.986301362514496,0.986301362514496,1,1
InsectEPGSmallTrain,1,1,0.934270414993307,1,0.88768406961178,0.396251673360107,1,0.90669344042838,0.975502008032129,0.990896921017403,0.984872824631861,0.972155287817939,0.995850066934404,0.837215528781794,1,0.996923077106476,1,0.984615385532379,1,1,1
InsectWingbeatSound,0.632222222222222,0.64026936026936,0.656683501683502,0.627356902356902,0.628552188552189,0.491380471380471,0.606902356902357,0.61949494949495,0.518686868686869,0.538989898989899,0.511835016835017,0.636363636363636,0.603451178451179,0.559225589225589,0.404021948575974,0.386837297677994,0.402193784713745,0.35283362865448,0.387568563222885,0.387568563222885,0.404021948575974
